image,label
0.png,2
1.png,3
2.png,9
3.png,6
4.png,2
5.png,8
6.png,9
7.png,9
8.png,1
9.png,9
10.png,2
11.png,6
12.png,5
13.png,5
14.png,1
15.png,3
16.png,6
17.png,0
18.png,4
19.png,2
20.png,7
21.png,0
22.png,0
23.png,4
24.png,7
25.png,3
26.png,3
27.png,8
28.png,6
29.png,4
30.png,6
31.png,7
32.png,8
33.png,3
34.png,5
35.png,7
36.png,9
37.png,5
38.png,8
39.png,3
40.png,9
41.png,7
42.png,2
43.png,6
44.png,0
45.png,0
46.png,7
47.png,2
48.png,9
49.png,0
50.png,6
51.png,0
52.png,9
53.png,6
54.png,5
55.png,2
56.png,5
57.png,2
58.png,0
59.png,7
60.png,9
61.png,3
62.png,8
63.png,9
64.png,5
65.png,8
66.png,5
67.png,7
68.png,9
69.png,0
70.png,8
71.png,6
72.png,2
73.png,6
74.png,9
75.png,8
76.png,5
77.png,6
78.png,9
79.png,7
80.png,4
81.png,1
82.png,3
83.png,0
84.png,7
85.png,2
86.png,0
87.png,3
88.png,2
89.png,0
90.png,4
91.png,4
92.png,2
93.png,2
94.png,5
95.png,8
96.png,2
97.png,0
98.png,6
99.png,7
100.png,3
101.png,6
102.png,1
103.png,1
104.png,0
105.png,2
106.png,1
107.png,8
108.png,1
109.png,2
110.png,4
111.png,9
112.png,2
113.png,8
114.png,9
115.png,6
116.png,0
117.png,6
118.png,8
119.png,7
120.png,7
121.png,0
122.png,0
123.png,2
124.png,1
125.png,4
126.png,3
127.png,9
128.png,2
129.png,9
130.png,2
131.png,9
132.png,7
133.png,6
134.png,3
135.png,1
136.png,7
137.png,0
138.png,3
139.png,0
140.png,1
141.png,8
142.png,3
143.png,3
144.png,7
145.png,4
146.png,3
147.png,2
148.png,0
149.png,5
150.png,8
151.png,9
152.png,7
153.png,3
154.png,2
155.png,1
156.png,5
157.png,1
158.png,2
159.png,7
160.png,0
161.png,2
162.png,9
163.png,5
164.png,4
165.png,1
166.png,2
167.png,7
168.png,9
169.png,0
170.png,2
171.png,0
172.png,2
173.png,6
174.png,6
175.png,7
176.png,9
177.png,3
178.png,7
179.png,5
180.png,3
181.png,0
182.png,0
183.png,4
184.png,7
185.png,8
186.png,0
187.png,2
188.png,3
189.png,3
190.png,5
191.png,4
192.png,1
193.png,7
194.png,3
195.png,7
196.png,5
197.png,3
198.png,1
199.png,1
200.png,7
201.png,8
202.png,8
203.png,3
204.png,7
205.png,3
206.png,7
207.png,2
208.png,9
209.png,4
210.png,2
211.png,5
212.png,6
213.png,9
214.png,0
215.png,0
216.png,7
217.png,2
218.png,7
219.png,2
220.png,4
221.png,6
222.png,2
223.png,3
224.png,2
225.png,6
226.png,2
227.png,2
228.png,2
229.png,4
230.png,1
231.png,7
